Run,LoadDate,Experiment,SRAStudy,BioProject,Sample,BioSample,SampleName,Submission,dbgap_study_accession
SRR17763317,2022-01-26 11:51:23,SRX13925841,SRP356854,PRJNA800731,SRS11774374,SAMN25279574,GSM5837564,SRA1362283,
SRR17763318,2022-01-26 11:51:40,SRX13925842,SRP356854,PRJNA800731,SRS11774375,SAMN25279568,GSM5837565,SRA1362283,
SRR17763319,2022-01-26 11:51:45,SRX13925843,SRP356854,PRJNA800731,SRS11774377,SAMN25279569,GSM5837566,SRA1362283,
SRR17763320,2022-01-26 11:52:57,SRX13925844,SRP356854,PRJNA800731,SRS11774376,SAMN25279570,GSM5837567,SRA1362283,
SRR17763321,2022-01-26 11:52:15,SRX13925845,SRP356854,PRJNA800731,SRS11774378,SAMN25279571,GSM5837568,SRA1362283,
SRR17763322,2022-01-26 11:51:56,SRX13925846,SRP356854,PRJNA800731,SRS11774379,SAMN25279572,GSM5837569,SRA1362283,
SRR17763323,2022-01-26 11:51:57,SRX13925847,SRP356854,PRJNA800731,SRS11774380,SAMN25279575,GSM5837570,SRA1362283,
SRR17763340,2022-01-26 11:51:41,SRX13925848,SRP356854,PRJNA800731,SRS11774381,SAMN25279636,GSM5837587,SRA1362283,
SRR17763341,2022-01-26 11:51:01,SRX13925849,SRP356854,PRJNA800731,SRS11774382,SAMN25279637,GSM5837588,SRA1362283,
SRR17763342,2022-01-26 11:50:21,SRX13925850,SRP356854,PRJNA800731,SRS11774383,SAMN25279638,GSM5837589,SRA1362283,
SRR17763343,2022-01-26 11:51:34,SRX13925851,SRP356854,PRJNA800731,SRS11774385,SAMN25279639,GSM5837590,SRA1362283,
SRR17763344,2022-01-26 11:51:27,SRX13925852,SRP356854,PRJNA800731,SRS11774384,SAMN25279640,GSM5837591,SRA1362283,
SRR17763345,2022-01-26 11:52:38,SRX13925853,SRP356854,PRJNA800731,SRS11774386,SAMN25279641,GSM5837592,SRA1362283,
SRR17763346,2022-01-26 11:53:07,SRX13925854,SRP356854,PRJNA800731,SRS11774389,SAMN25279642,GSM5837593,SRA1362283,
SRR17763347,2022-01-26 11:51:05,SRX13925855,SRP356854,PRJNA800731,SRS11774387,SAMN25279643,GSM5837594,SRA1362283,
SRR17763380,2022-01-26 11:52:34,SRX13925856,SRP356854,PRJNA800731,SRS11774388,SAMN25279676,GSM5837627,SRA1362283,
SRR17763381,2022-01-26 11:51:22,SRX13925857,SRP356854,PRJNA800731,SRS11774390,SAMN25279677,GSM5837628,SRA1362283,
SRR17763382,2022-01-26 11:51:32,SRX13925858,SRP356854,PRJNA800731,SRS11774391,SAMN25279678,GSM5837629,SRA1362283,
SRR17763383,2022-01-26 11:52:13,SRX13925859,SRP356854,PRJNA800731,SRS11774392,SAMN25279679,GSM5837630,SRA1362283,
SRR17763384,2022-01-26 11:51:20,SRX13925860,SRP356854,PRJNA800731,SRS11774393,SAMN25279680,GSM5837631,SRA1362283,
SRR17763385,2022-01-26 11:50:59,SRX13925861,SRP356854,PRJNA800731,SRS11774394,SAMN25279681,GSM5837632,SRA1362283,
SRR17763386,2022-01-26 11:51:18,SRX13925862,SRP356854,PRJNA800731,SRS11774395,SAMN25279682,GSM5837633,SRA1362283,
SRR17763387,2022-01-26 11:51:41,SRX13925863,SRP356854,PRJNA800731,SRS11774396,SAMN25279683,GSM5837634,SRA1362283,
SRR17762957,2022-01-26 11:47:41,SRX13925864,SRP356854,PRJNA800731,SRS11774398,SAMN25279700,GSM5837651,SRA1362283,
SRR17762958,2022-01-26 11:47:47,SRX13925865,SRP356854,PRJNA800731,SRS11774397,SAMN25279701,GSM5837652,SRA1362283,
SRR17762959,2022-01-26 11:47:39,SRX13925866,SRP356854,PRJNA800731,SRS11774400,SAMN25279702,GSM5837653,SRA1362283,
SRR17762960,2022-01-26 11:48:12,SRX13925867,SRP356854,PRJNA800731,SRS11774399,SAMN25279703,GSM5837654,SRA1362283,
SRR17762961,2022-01-26 11:47:46,SRX13925868,SRP356854,PRJNA800731,SRS11774401,SAMN25279704,GSM5837655,SRA1362283,
SRR17762962,2022-01-26 11:47:27,SRX13925869,SRP356854,PRJNA800731,SRS11774402,SAMN25279705,GSM5837656,SRA1362283,
SRR17762963,2022-01-26 11:48:15,SRX13925870,SRP356854,PRJNA800731,SRS11774403,SAMN25279706,GSM5837657,SRA1362283,
SRR17762964,2022-01-26 11:46:30,SRX13925871,SRP356854,PRJNA800731,SRS11774404,SAMN25279707,GSM5837658,SRA1362283,
SRR17762981,2022-01-26 11:45:33,SRX13925872,SRP356854,PRJNA800731,SRS11774405,SAMN25279761,GSM5837675,SRA1362283,
SRR17762982,2022-01-26 11:46:36,SRX13925873,SRP356854,PRJNA800731,SRS11774406,SAMN25279763,GSM5837676,SRA1362283,
SRR17762983,2022-01-26 11:45:49,SRX13925874,SRP356854,PRJNA800731,SRS11774407,SAMN25279765,GSM5837677,SRA1362283,
SRR17762984,2022-01-26 11:45:55,SRX13925875,SRP356854,PRJNA800731,SRS11774408,SAMN25279767,GSM5837678,SRA1362283,
SRR17762985,2022-01-26 11:45:23,SRX13925876,SRP356854,PRJNA800731,SRS11774409,SAMN25279768,GSM5837679,SRA1362283,
SRR17762986,2022-01-26 11:45:19,SRX13925877,SRP356854,PRJNA800731,SRS11774410,SAMN25279770,GSM5837680,SRA1362283,
SRR17762987,2022-01-26 11:45:54,SRX13925878,SRP356854,PRJNA800731,SRS11774411,SAMN25279778,GSM5837681,SRA1362283,
SRR17762988,2022-01-26 11:47:03,SRX13925879,SRP356854,PRJNA800731,SRS11774412,SAMN25279781,GSM5837682,SRA1362283,
SRR19594055,2022-06-09 09:24:26,SRX15645563,SRP379286,PRJNA847432,SRS13344497,SAMN28934949,GSM6222612,SRA1434277,
SRR19594054,2022-06-09 09:34:35,SRX15645564,SRP379286,PRJNA847432,SRS13344496,SAMN28934948,GSM6222613,SRA1434277,
SRR19594053,2022-06-09 09:32:55,SRX15645565,SRP379286,PRJNA847432,SRS13344498,SAMN28934947,GSM6222614,SRA1434277,
SRR19594052,2022-06-09 09:25:26,SRX15645566,SRP379286,PRJNA847432,SRS13344500,SAMN28934946,GSM6222615,SRA1434277,
SRR19594051,2022-06-09 09:28:56,SRX15645567,SRP379286,PRJNA847432,SRS13344499,SAMN28934945,GSM6222616,SRA1434277,
SRR19594050,2022-06-09 09:33:00,SRX15645568,SRP379286,PRJNA847432,SRS13344502,SAMN28934944,GSM6222617,SRA1434277,
SRR19594049,2022-06-09 09:33:34,SRX15645569,SRP379286,PRJNA847432,SRS13344501,SAMN28934943,GSM6222618,SRA1434277,
SRR19594048,2022-06-09 09:27:36,SRX15645570,SRP379286,PRJNA847432,SRS13344503,SAMN28934942,GSM6222619,SRA1434277,
SRR19594047,2022-06-09 09:27:39,SRX15645571,SRP379286,PRJNA847432,SRS13344504,SAMN28934941,GSM6222620,SRA1434277,
SRR19594046,2022-06-09 09:29:25,SRX15645572,SRP379286,PRJNA847432,SRS13344505,SAMN28934940,GSM6222621,SRA1434277,
SRR19594045,2022-06-09 09:32:38,SRX15645573,SRP379286,PRJNA847432,SRS13344506,SAMN28934939,GSM6222622,SRA1434277,
SRR19594044,2022-06-09 09:29:28,SRX15645574,SRP379286,PRJNA847432,SRS13344508,SAMN28934938,GSM6222623,SRA1434277,
SRR19594043,2022-06-09 09:23:47,SRX15645575,SRP379286,PRJNA847432,SRS13344507,SAMN28934937,GSM6222624,SRA1434277,
SRR17763116,2022-01-26 11:50:14,SRX13925800,SRP356854,PRJNA800731,SRS11774333,SAMN25279777,GSM5837459,SRA1362283,
SRR17763117,2022-01-26 11:49:06,SRX13925801,SRP356854,PRJNA800731,SRS11774334,SAMN25279779,GSM5837460,SRA1362283,
SRR17763118,2022-01-26 11:49:12,SRX13925802,SRP356854,PRJNA800731,SRS11774335,SAMN25279780,GSM5837461,SRA1362283,
SRR17763119,2022-01-26 11:48:04,SRX13925803,SRP356854,PRJNA800731,SRS11774336,SAMN25279782,GSM5837462,SRA1362283,
SRR17763120,2022-01-26 11:47:50,SRX13925804,SRP356854,PRJNA800731,SRS11774337,SAMN25279784,GSM5837463,SRA1362283,
SRR17763121,2022-01-26 11:48:42,SRX13925805,SRP356854,PRJNA800731,SRS11774338,SAMN25279786,GSM5837464,SRA1362283,
SRR17763122,2022-01-26 11:49:25,SRX13925806,SRP356854,PRJNA800731,SRS11774339,SAMN25279788,GSM5837465,SRA1362283,
SRR17763123,2022-01-26 11:48:16,SRX13925807,SRP356854,PRJNA800731,SRS11774340,SAMN25279792,GSM5837466,SRA1362283,
SRR17763140,2022-01-26 11:51:00,SRX13925808,SRP356854,PRJNA800731,SRS11774341,SAMN25279483,GSM5837483,SRA1362283,
SRR17763141,2022-01-26 11:51:33,SRX13925809,SRP356854,PRJNA800731,SRS11774343,SAMN25279484,GSM5837484,SRA1362283,
SRR17763142,2022-01-26 11:52:43,SRX13925810,SRP356854,PRJNA800731,SRS11774342,SAMN25279485,GSM5837485,SRA1362283,
SRR17763143,2022-01-26 11:48:54,SRX13925811,SRP356854,PRJNA800731,SRS11774345,SAMN25279486,GSM5837486,SRA1362283,
SRR17763144,2022-01-26 11:50:40,SRX13925812,SRP356854,PRJNA800731,SRS11774344,SAMN25279487,GSM5837487,SRA1362283,
SRR17763145,2022-01-26 11:50:27,SRX13925813,SRP356854,PRJNA800731,SRS11774346,SAMN25279488,GSM5837488,SRA1362283,
SRR17763146,2022-01-26 11:50:56,SRX13925814,SRP356854,PRJNA800731,SRS11774349,SAMN25279489,GSM5837489,SRA1362283,
SRR17763147,2022-01-26 11:51:17,SRX13925815,SRP356854,PRJNA800731,SRS11774347,SAMN25279490,GSM5837490,SRA1362283,
SRR17763148,2022-01-26 11:51:52,SRX13925816,SRP356854,PRJNA800731,SRS11774348,SAMN25279491,GSM5837491,SRA1362283,
SRR17763149,2022-01-26 11:48:46,SRX13925817,SRP356854,PRJNA800731,SRS11774350,SAMN25279492,GSM5837492,SRA1362283,
SRR17763150,2022-01-26 11:48:31,SRX13925818,SRP356854,PRJNA800731,SRS11774351,SAMN25279493,GSM5837493,SRA1362283,
SRR17763151,2022-01-26 11:48:09,SRX13925819,SRP356854,PRJNA800731,SRS11774352,SAMN25279494,GSM5837494,SRA1362283,
SRR17763152,2022-01-26 11:48:38,SRX13925820,SRP356854,PRJNA800731,SRS11774353,SAMN25279495,GSM5837495,SRA1362283,
SRR17763153,2022-01-26 11:48:36,SRX13925821,SRP356854,PRJNA800731,SRS11774356,SAMN25279496,GSM5837496,SRA1362283,
SRR17763154,2022-01-26 11:48:40,SRX13925822,SRP356854,PRJNA800731,SRS11774355,SAMN25279497,GSM5837497,SRA1362283,
SRR17763155,2022-01-26 11:49:04,SRX13925823,SRP356854,PRJNA800731,SRS11774354,SAMN25279498,GSM5837498,SRA1362283,
SRR17763156,2022-01-26 11:47:29,SRX13925824,SRP356854,PRJNA800731,SRS11774357,SAMN25279499,GSM5837499,SRA1362283,
SRR17763157,2022-01-26 11:49:21,SRX13925825,SRP356854,PRJNA800731,SRS11774358,SAMN25279500,GSM5837500,SRA1362283,
SRR17763158,2022-01-26 11:48:55,SRX13925826,SRP356854,PRJNA800731,SRS11774360,SAMN25279501,GSM5837501,SRA1362283,
SRR17763159,2022-01-26 11:48:49,SRX13925827,SRP356854,PRJNA800731,SRS11774359,SAMN25279508,GSM5837502,SRA1362283,
SRR17763160,2022-01-26 11:48:44,SRX13925828,SRP356854,PRJNA800731,SRS11774361,SAMN25279509,GSM5837503,SRA1362283,
SRR17763161,2022-01-26 11:47:47,SRX13925829,SRP356854,PRJNA800731,SRS11774362,SAMN25279510,GSM5837504,SRA1362283,
SRR17763162,2022-01-26 11:49:24,SRX13925830,SRP356854,PRJNA800731,SRS11774364,SAMN25279502,GSM5837505,SRA1362283,
SRR17763163,2022-01-26 11:48:38,SRX13925831,SRP356854,PRJNA800731,SRS11774363,SAMN25279503,GSM5837506,SRA1362283,
SRR17763196,2022-01-26 11:49:58,SRX13925832,SRP356854,PRJNA800731,SRS11774365,SAMN25279544,GSM5837539,SRA1362283,
SRR17763197,2022-01-26 11:50:29,SRX13925833,SRP356854,PRJNA800731,SRS11774366,SAMN25279545,GSM5837540,SRA1362283,
SRR17763198,2022-01-26 11:49:33,SRX13925834,SRP356854,PRJNA800731,SRS11774368,SAMN25279546,GSM5837541,SRA1362283,
SRR17763199,2022-01-26 11:51:25,SRX13925835,SRP356854,PRJNA800731,SRS11774367,SAMN25279547,GSM5837542,SRA1362283,
SRR17763296,2022-01-26 11:51:16,SRX13925836,SRP356854,PRJNA800731,SRS11774369,SAMN25279548,GSM5837543,SRA1362283,
SRR17763297,2022-01-26 11:51:29,SRX13925837,SRP356854,PRJNA800731,SRS11774370,SAMN25279549,GSM5837544,SRA1362283,
SRR17763298,2022-01-26 11:51:48,SRX13925838,SRP356854,PRJNA800731,SRS11774371,SAMN25279550,GSM5837545,SRA1362283,
SRR17763299,2022-01-26 11:52:06,SRX13925839,SRP356854,PRJNA800731,SRS11774372,SAMN25279551,GSM5837546,SRA1362283,
SRR17763269,2022-01-26 11:54:44,SRX13925740,SRP356854,PRJNA800731,SRS11774275,SAMN25279309,GSM5837231,SRA1362283,
SRR17763270,2022-01-26 11:51:36,SRX13925741,SRP356854,PRJNA800731,SRS11774272,SAMN25279310,GSM5837232,SRA1362283,
SRR17763271,2022-01-26 11:53:24,SRX13925742,SRP356854,PRJNA800731,SRS11774274,SAMN25279311,GSM5837233,SRA1362283,
SRR17763272,2022-01-26 11:52:45,SRX13925743,SRP356854,PRJNA800731,SRS11774276,SAMN25279312,GSM5837234,SRA1362283,
SRR17763289,2022-01-26 11:54:01,SRX13925744,SRP356854,PRJNA800731,SRS11774277,SAMN25279321,GSM5837251,SRA1362283,
SRR17763290,2022-01-26 11:54:29,SRX13925745,SRP356854,PRJNA800731,SRS11774278,SAMN25279325,GSM5837252,SRA1362283,
SRR17763291,2022-01-26 11:55:14,SRX13925746,SRP356854,PRJNA800731,SRS11774279,SAMN25279326,GSM5837253,SRA1362283,
SRR17763292,2022-01-26 11:53:01,SRX13925747,SRP356854,PRJNA800731,SRS11774280,SAMN25279327,GSM5837254,SRA1362283,
SRR17763293,2022-01-26 11:52:41,SRX13925748,SRP356854,PRJNA800731,SRS11774281,SAMN25279328,GSM5837255,SRA1362283,
SRR17763294,2022-01-26 11:52:12,SRX13925749,SRP356854,PRJNA800731,SRS11774282,SAMN25279324,GSM5837256,SRA1362283,
SRR17763295,2022-01-26 11:52:47,SRX13925750,SRP356854,PRJNA800731,SRS11774284,SAMN25279329,GSM5837257,SRA1362283,
SRR17762849,2022-01-26 11:58:10,SRX13925751,SRP356854,PRJNA800731,SRS11774283,SAMN25279330,GSM5837258,SRA1362283,
SRR17762866,2022-01-26 11:47:02,SRX13925752,SRP356854,PRJNA800731,SRS11774285,SAMN25279347,GSM5837275,SRA1362283,
SRR17762867,2022-01-26 11:44:22,SRX13925753,SRP356854,PRJNA800731,SRS11774286,SAMN25279348,GSM5837276,SRA1362283,
SRR17762868,2022-01-26 11:45:32,SRX13925754,SRP356854,PRJNA800731,SRS11774287,SAMN25279349,GSM5837277,SRA1362283,
SRR17762869,2022-01-26 11:46:06,SRX13925755,SRP356854,PRJNA800731,SRS11774288,SAMN25279350,GSM5837278,SRA1362283,
SRR17762870,2022-01-26 11:46:13,SRX13925756,SRP356854,PRJNA800731,SRS11774289,SAMN25279352,GSM5837279,SRA1362283,
SRR17762871,2022-01-26 11:46:37,SRX13925757,SRP356854,PRJNA800731,SRS11774290,SAMN25279353,GSM5837280,SRA1362283,
SRR17762872,2022-01-26 11:45:24,SRX13925758,SRP356854,PRJNA800731,SRS11774291,SAMN25279354,GSM5837281,SRA1362283,
SRR17762873,2022-01-26 11:45:45,SRX13925759,SRP356854,PRJNA800731,SRS11774293,SAMN25279355,GSM5837282,SRA1362283,
SRR17762914,2022-01-26 11:47:59,SRX13925760,SRP356854,PRJNA800731,SRS11774292,SAMN25279395,GSM5837323,SRA1362283,
SRR17762915,2022-01-26 11:47:10,SRX13925761,SRP356854,PRJNA800731,SRS11774294,SAMN25279396,GSM5837324,SRA1362283,
SRR17762916,2022-01-26 11:47:52,SRX13925762,SRP356854,PRJNA800731,SRS11774295,SAMN25279397,GSM5837325,SRA1362283,
SRR17762917,2022-01-26 11:47:45,SRX13925763,SRP356854,PRJNA800731,SRS11774296,SAMN25279398,GSM5837326,SRA1362283,
