Run,LoadDate,Experiment,SRAStudy,BioProject,Sample,BioSample,SampleName,Submission,dbgap_study_accession
SRR27190086,2023-12-12 18:48:47,SRX22870242,SRP477628,PRJNA1051639,SRS19843761,SAMN38792292,GSM7971810,SRA1767704,
SRR27190085,2023-12-12 18:49:04,SRX22870243,SRP477628,PRJNA1051639,SRS19843759,SAMN38792291,GSM7971811,SRA1767704,
SRR27190084,2023-12-12 18:49:07,SRX22870244,SRP477628,PRJNA1051639,SRS19843760,SAMN38792290,GSM7971812,SRA1767704,
SRR27190083,2023-12-12 18:48:50,SRX22870245,SRP477628,PRJNA1051639,SRS19843757,SAMN38792289,GSM7971813,SRA1767704,
SRR27190082,2023-12-12 18:48:21,SRX22870246,SRP477628,PRJNA1051639,SRS19843756,SAMN38792288,GSM7971814,SRA1767704,
SRR27190081,2023-12-12 18:48:48,SRX22870247,SRP477628,PRJNA1051639,SRS19843762,SAMN38792287,GSM7971815,SRA1767704,
SRR27602614,2024-01-18 08:04:56,SRX23271063,SRP484387,PRJNA1066202,SRS20173387,SAMN39482517,GSM8022511,SRA1787413,
SRR27602615,2024-01-18 08:04:54,SRX23271063,SRP484387,PRJNA1066202,SRS20173387,SAMN39482517,GSM8022511,SRA1787413,
SRR27602612,2024-01-18 08:04:54,SRX23271064,SRP484387,PRJNA1066202,SRS20173388,SAMN39482516,GSM8022512,SRA1787413,
SRR27602613,2024-01-18 08:04:51,SRX23271064,SRP484387,PRJNA1066202,SRS20173388,SAMN39482516,GSM8022512,SRA1787413,
SRR27602608,2024-01-18 08:04:56,SRX23271065,SRP484387,PRJNA1066202,SRS20173389,SAMN39482515,GSM8022513,SRA1787413,
SRR27602609,2024-01-18 08:04:32,SRX23271065,SRP484387,PRJNA1066202,SRS20173389,SAMN39482515,GSM8022513,SRA1787413,
SRR27602604,2024-01-18 08:04:46,SRX23271068,SRP484387,PRJNA1066202,SRS20173392,SAMN39482514,GSM8022514,SRA1787413,
SRR27602605,2024-01-18 08:04:33,SRX23271068,SRP484387,PRJNA1066202,SRS20173392,SAMN39482514,GSM8022514,SRA1787413,
SRR27602610,2024-01-18 08:04:36,SRX23271066,SRP484387,PRJNA1066202,SRS20173390,SAMN39482513,GSM8022515,SRA1787413,
SRR27602611,2024-01-18 08:04:58,SRX23271066,SRP484387,PRJNA1066202,SRS20173390,SAMN39482513,GSM8022515,SRA1787413,
SRR27602606,2024-01-18 08:04:55,SRX23271067,SRP484387,PRJNA1066202,SRS20173391,SAMN39482512,GSM8022516,SRA1787413,
SRR27602607,2024-01-18 08:04:48,SRX23271067,SRP484387,PRJNA1066202,SRS20173391,SAMN39482512,GSM8022516,SRA1787413,
SRR27602602,2024-01-18 08:05:15,SRX23271069,SRP484387,PRJNA1066202,SRS20173393,SAMN39482511,GSM8022517,SRA1787413,
SRR27602603,2024-01-18 08:05:09,SRX23271069,SRP484387,PRJNA1066202,SRS20173393,SAMN39482511,GSM8022517,SRA1787413,
SRR27602598,2024-01-18 08:04:43,SRX23271070,SRP484387,PRJNA1066202,SRS20173395,SAMN39482510,GSM8022518,SRA1787413,
SRR27602599,2024-01-18 08:04:58,SRX23271070,SRP484387,PRJNA1066202,SRS20173395,SAMN39482510,GSM8022518,SRA1787413,
SRR27602594,2024-01-18 08:04:36,SRX23271073,SRP484387,PRJNA1066202,SRS20173397,SAMN39482509,GSM8022519,SRA1787413,
SRR27602595,2024-01-18 08:04:48,SRX23271073,SRP484387,PRJNA1066202,SRS20173397,SAMN39482509,GSM8022519,SRA1787413,
SRR27602600,2024-01-18 08:04:33,SRX23271071,SRP484387,PRJNA1066202,SRS20173394,SAMN39482508,GSM8022520,SRA1787413,
SRR27602601,2024-01-18 08:04:50,SRX23271071,SRP484387,PRJNA1066202,SRS20173394,SAMN39482508,GSM8022520,SRA1787413,
SRR27602596,2024-01-18 08:04:43,SRX23271072,SRP484387,PRJNA1066202,SRS20173396,SAMN39482507,GSM8022521,SRA1787413,
SRR27602597,2024-01-18 08:04:34,SRX23271072,SRP484387,PRJNA1066202,SRS20173396,SAMN39482507,GSM8022521,SRA1787413,
SRR27602592,2024-01-18 08:04:31,SRX23271074,SRP484387,PRJNA1066202,SRS20173398,SAMN39482506,GSM8022522,SRA1787413,
SRR27602593,2024-01-18 08:04:45,SRX23271074,SRP484387,PRJNA1066202,SRS20173398,SAMN39482506,GSM8022522,SRA1787413,
SRR27602588,2024-01-18 08:04:40,SRX23271075,SRP484387,PRJNA1066202,SRS20173399,SAMN39482505,GSM8022523,SRA1787413,
SRR27602589,2024-01-18 08:04:55,SRX23271075,SRP484387,PRJNA1066202,SRS20173399,SAMN39482505,GSM8022523,SRA1787413,
SRR27602584,2024-01-18 08:04:43,SRX23271078,SRP484387,PRJNA1066202,SRS20173402,SAMN39482504,GSM8022524,SRA1787413,
SRR27602585,2024-01-18 08:04:53,SRX23271078,SRP484387,PRJNA1066202,SRS20173402,SAMN39482504,GSM8022524,SRA1787413,
SRR27602590,2024-01-18 08:04:51,SRX23271076,SRP484387,PRJNA1066202,SRS20173400,SAMN39482503,GSM8022525,SRA1787413,
SRR27602591,2024-01-18 08:06:01,SRX23271076,SRP484387,PRJNA1066202,SRS20173400,SAMN39482503,GSM8022525,SRA1787413,
SRR27602586,2024-01-18 08:04:43,SRX23271077,SRP484387,PRJNA1066202,SRS20173401,SAMN39482502,GSM8022526,SRA1787413,
SRR27602587,2024-01-18 08:04:58,SRX23271077,SRP484387,PRJNA1066202,SRS20173401,SAMN39482502,GSM8022526,SRA1787413,
SRR27602582,2024-01-18 08:04:51,SRX23271079,SRP484387,PRJNA1066202,SRS20173403,SAMN39482501,GSM8022527,SRA1787413,
SRR27602583,2024-01-18 08:04:45,SRX23271079,SRP484387,PRJNA1066202,SRS20173403,SAMN39482501,GSM8022527,SRA1787413,
SRR27602580,2024-01-18 08:04:54,SRX23271080,SRP484387,PRJNA1066202,SRS20173404,SAMN39482500,GSM8022528,SRA1787413,
SRR27602581,2024-01-18 08:04:58,SRX23271080,SRP484387,PRJNA1066202,SRS20173404,SAMN39482500,GSM8022528,SRA1787413,
SRR14319026,2021-04-27 21:27:31,SRX10674184,SRP281979,PRJNA662785,SRS7348327,SAMN16094033,GSM4775050,SRA1123623,
SRR14319027,2021-04-27 20:55:56,SRX10674185,SRP281979,PRJNA662785,SRS7348328,SAMN16094032,GSM4775051,SRA1123623,
SRR14319028,2021-04-27 21:02:21,SRX10674186,SRP281979,PRJNA662785,SRS7348329,SAMN16094030,GSM4775052,SRA1123623,
SRR14319029,2021-04-27 22:03:25,SRX10674187,SRP281979,PRJNA662785,SRS7348330,SAMN16094029,GSM4775053,SRA1123623,
SRR14319030,2021-04-27 20:45:09,SRX10674188,SRP281979,PRJNA662785,SRS7723494,SAMN16810928,GSM4910213,SRA1123623,
SRR16297028,2021-10-12 12:47:16,SRX12575938,SRP340976,PRJNA770555,SRS10531800,SAMN22224864,GSM5621947,SRA1309534,
SRR16297029,2021-10-12 13:17:42,SRX12575938,SRP340976,PRJNA770555,SRS10531800,SAMN22224864,GSM5621947,SRA1309534,
SRR16297030,2021-10-12 11:38:33,SRX12575938,SRP340976,PRJNA770555,SRS10531800,SAMN22224864,GSM5621947,SRA1309534,
SRR16297031,2021-10-12 12:40:17,SRX12575938,SRP340976,PRJNA770555,SRS10531800,SAMN22224864,GSM5621947,SRA1309534,
SRR16297040,2021-10-12 13:15:45,SRX12575941,SRP340976,PRJNA770555,SRS10531803,SAMN22224867,GSM5621950,SRA1309534,
SRR16297041,2021-10-12 12:26:59,SRX12575941,SRP340976,PRJNA770555,SRS10531803,SAMN22224867,GSM5621950,SRA1309534,
SRR16297042,2021-10-12 12:39:34,SRX12575941,SRP340976,PRJNA770555,SRS10531803,SAMN22224867,GSM5621950,SRA1309534,
SRR16297043,2021-10-12 12:12:09,SRX12575941,SRP340976,PRJNA770555,SRS10531803,SAMN22224867,GSM5621950,SRA1309534,
SRR17490304,2022-01-07 18:39:58,SRX13660522,SRP354006,PRJNA795499,SRS11546333,SAMN24726622,GSM5778061,SRA1353635,
SRR17490303,2022-01-07 18:44:17,SRX13660523,SRP354006,PRJNA795499,SRS11546334,SAMN24726621,GSM5778062,SRA1353635,
SRR17490302,2022-01-07 18:41:58,SRX13660524,SRP354006,PRJNA795499,SRS11546335,SAMN24726620,GSM5778063,SRA1353635,
SRR17490296,2022-01-07 18:49:29,SRX13660530,SRP354006,PRJNA795499,SRS11546341,SAMN24726614,GSM5778069,SRA1353635,
SRR17490295,2022-01-07 18:42:53,SRX13660531,SRP354006,PRJNA795499,SRS11546342,SAMN24726613,GSM5778070,SRA1353635,
SRR17490294,2022-01-07 18:41:00,SRX13660532,SRP354006,PRJNA795499,SRS11546343,SAMN24726612,GSM5778071,SRA1353635,
SRR17490288,2022-01-07 18:45:22,SRX13660538,SRP354006,PRJNA795499,SRS11546349,SAMN24726606,GSM5778077,SRA1353635,
SRR17490287,2022-01-07 18:51:10,SRX13660539,SRP354006,PRJNA795499,SRS11546350,SAMN24726605,GSM5778078,SRA1353635,
SRR17490286,2022-01-07 18:50:59,SRX13660540,SRP354006,PRJNA795499,SRS11546351,SAMN24726604,GSM5778079,SRA1353635,
SRR18071748,2022-02-23 05:36:07,SRX14223423,SRP360519,PRJNA808315,SRS12044857,SAMN26083230,GSM5906419,SRA1374524,
SRR18071749,2022-02-23 05:43:22,SRX14223423,SRP360519,PRJNA808315,SRS12044857,SAMN26083230,GSM5906419,SRA1374524,
SRR18071746,2022-02-23 05:38:21,SRX14223424,SRP360519,PRJNA808315,SRS12044858,SAMN26083229,GSM5906420,SRA1374524,
SRR18071747,2022-02-23 05:36:56,SRX14223424,SRP360519,PRJNA808315,SRS12044858,SAMN26083229,GSM5906420,SRA1374524,
SRR18071744,2022-02-23 05:40:05,SRX14223425,SRP360519,PRJNA808315,SRS12044859,SAMN26083228,GSM5906421,SRA1374524,
SRR18071745,2022-02-23 05:41:43,SRX14223425,SRP360519,PRJNA808315,SRS12044859,SAMN26083228,GSM5906421,SRA1374524,
SRR18071742,2022-02-23 05:43:16,SRX14223426,SRP360519,PRJNA808315,SRS12044860,SAMN26083227,GSM5906422,SRA1374524,
SRR18071743,2022-02-23 05:45:05,SRX14223426,SRP360519,PRJNA808315,SRS12044860,SAMN26083227,GSM5906422,SRA1374524,
SRR18071740,2022-02-23 05:45:13,SRX14223427,SRP360519,PRJNA808315,SRS12044861,SAMN26083226,GSM5906423,SRA1374524,
SRR18071741,2022-02-23 05:42:48,SRX14223427,SRP360519,PRJNA808315,SRS12044861,SAMN26083226,GSM5906423,SRA1374524,
SRR18071738,2022-02-23 05:44:52,SRX14223428,SRP360519,PRJNA808315,SRS12044862,SAMN26083225,GSM5906424,SRA1374524,
SRR18071739,2022-02-23 05:43:01,SRX14223428,SRP360519,PRJNA808315,SRS12044862,SAMN26083225,GSM5906424,SRA1374524,
SRR18071736,2022-02-23 05:43:06,SRX14223429,SRP360519,PRJNA808315,SRS12044863,SAMN26083224,GSM5906425,SRA1374524,
SRR18071737,2022-02-23 05:37:44,SRX14223429,SRP360519,PRJNA808315,SRS12044863,SAMN26083224,GSM5906425,SRA1374524,
SRR18071734,2022-02-23 05:38:59,SRX14223430,SRP360519,PRJNA808315,SRS12044864,SAMN26083223,GSM5906426,SRA1374524,
SRR18071735,2022-02-23 05:41:29,SRX14223430,SRP360519,PRJNA808315,SRS12044864,SAMN26083223,GSM5906426,SRA1374524,
SRR18071732,2022-02-23 05:35:14,SRX14223431,SRP360519,PRJNA808315,SRS12044865,SAMN26083222,GSM5906427,SRA1374524,
SRR18071733,2022-02-23 05:41:59,SRX14223431,SRP360519,PRJNA808315,SRS12044865,SAMN26083222,GSM5906427,SRA1374524,
SRR18071730,2022-02-23 05:47:09,SRX14223432,SRP360519,PRJNA808315,SRS12044866,SAMN26083221,GSM5906428,SRA1374524,
SRR18071731,2022-02-23 05:48:43,SRX14223432,SRP360519,PRJNA808315,SRS12044866,SAMN26083221,GSM5906428,SRA1374524,
SRR18071728,2022-02-23 05:45:30,SRX14223433,SRP360519,PRJNA808315,SRS12044867,SAMN26083220,GSM5906429,SRA1374524,
SRR18071729,2022-02-23 05:48:37,SRX14223433,SRP360519,PRJNA808315,SRS12044867,SAMN26083220,GSM5906429,SRA1374524,
SRR18071726,2022-02-23 05:45:28,SRX14223434,SRP360519,PRJNA808315,SRS12044868,SAMN26083219,GSM5906430,SRA1374524,
SRR18071727,2022-02-23 05:50:52,SRX14223434,SRP360519,PRJNA808315,SRS12044868,SAMN26083219,GSM5906430,SRA1374524,
SRR18071724,2022-02-23 05:40:02,SRX14223435,SRP360519,PRJNA808315,SRS12044869,SAMN26083218,GSM5906431,SRA1374524,
SRR18071725,2022-02-23 05:51:21,SRX14223435,SRP360519,PRJNA808315,SRS12044869,SAMN26083218,GSM5906431,SRA1374524,
SRR18071722,2022-02-23 05:36:03,SRX14223436,SRP360519,PRJNA808315,SRS12044870,SAMN26083217,GSM5906432,SRA1374524,
SRR18071723,2022-02-23 05:40:20,SRX14223436,SRP360519,PRJNA808315,SRS12044870,SAMN26083217,GSM5906432,SRA1374524,
SRR18071720,2022-02-23 05:38:49,SRX14223437,SRP360519,PRJNA808315,SRS12044871,SAMN26083216,GSM5906433,SRA1374524,
SRR18071721,2022-02-23 05:38:48,SRX14223437,SRP360519,PRJNA808315,SRS12044871,SAMN26083216,GSM5906433,SRA1374524,
SRR18735498,2022-04-13 06:03:18,SRX14835621,SRP369917,PRJNA819422,SRS12590846,SAMN27548446,GSM5970631,SRA1402989,
SRR18735497,2022-04-13 05:50:11,SRX14835622,SRP369917,PRJNA819422,SRS12590847,SAMN27548445,GSM5970632,SRA1402989,
SRR18735496,2022-04-13 04:51:23,SRX14835623,SRP369917,PRJNA819422,SRS12590848,SAMN27548444,GSM5970633,SRA1402989,
SRR18735495,2022-04-13 09:46:26,SRX14835624,SRP369917,PRJNA819422,SRS12590849,SAMN27548443,GSM5970634,SRA1402989,
SRR19221607,2022-05-16 12:41:08,SRX15285514,SRP375377,PRJNA838573,SRS13015330,SAMN28449421,GSM6153769, CNIC",SRA1420668
SRR19221608,2022-05-16 12:25:25,SRX15285514,SRP375377,PRJNA838573,SRS13015330,SAMN28449421,GSM6153769, CNIC",SRA1420668
SRR19221603,2022-05-16 12:31:07,SRX15285516,SRP375377,PRJNA838573,SRS13015332,SAMN28449419,GSM6153771, CNIC",SRA1420668
SRR19221604,2022-05-16 12:25:56,SRX15285516,SRP375377,PRJNA838573,SRS13015332,SAMN28449419,GSM6153771, CNIC",SRA1420668
SRR14088806,2021-03-28 19:06:51,SRX10463072,SRP312487,PRJNA718090,SRS8593837,SAMN18521995,GSM5216071,SRA1211456,
SRR14088807,2021-03-28 19:04:12,SRX10463073,SRP312487,PRJNA718090,SRS8593838,SAMN18521994,GSM5216072,SRA1211456,
SRR14088808,2021-03-28 19:14:22,SRX10463074,SRP312487,PRJNA718090,SRS8593839,SAMN18521993,GSM5216073,SRA1211456,
SRR14088809,2021-03-28 19:08:44,SRX10463075,SRP312487,PRJNA718090,SRS8593840,SAMN18521992,GSM5216074,SRA1211456,
SRR14088810,2021-03-28 18:59:21,SRX10463076,SRP312487,PRJNA718090,SRS8593842,SAMN18521991,GSM5216075,SRA1211456,
SRR14088811,2021-03-28 19:37:23,SRX10463077,SRP312487,PRJNA718090,SRS8593841,SAMN18521990,GSM5216076,SRA1211456,
SRR14088812,2021-03-28 19:06:23,SRX10463078,SRP312487,PRJNA718090,SRS8593843,SAMN18521989,GSM5216077,SRA1211456,
SRR14088821,2021-03-28 19:22:38,SRX10463167,SRP312487,PRJNA718090,SRS8593932,SAMN18521986,GSM5216086,SRA1211456,
SRR14088822,2021-03-28 19:16:07,SRX10463168,SRP312487,PRJNA718090,SRS8593933,SAMN18522013,GSM5216087,SRA1211456,
SRR14088823,2021-03-28 19:07:06,SRX10463169,SRP312487,PRJNA718090,SRS8593934,SAMN18522012,GSM5216088,SRA1211456,
SRR14088824,2021-03-28 19:08:34,SRX10463170,SRP312487,PRJNA718090,SRS8593935,SAMN18522011,GSM5216089,SRA1211456,
SRR14088825,2021-03-28 19:21:01,SRX10463171,SRP312487,PRJNA718090,SRS8593936,SAMN18522010,GSM5216090,SRA1211456,
SRR14088826,2021-03-28 19:09:25,SRX10463172,SRP312487,PRJNA718090,SRS8593938,SAMN18522009,GSM5216091,SRA1211456,
SRR14088827,2021-03-28 18:58:44,SRX10463173,SRP312487,PRJNA718090,SRS8593937,SAMN18522008,GSM5216092,SRA1211456,
SRR14088828,2021-03-28 19:10:55,SRX10463174,SRP312487,PRJNA718090,SRS8593939,SAMN18522007,GSM5216093,SRA1211456,
SRR14088829,2021-03-28 19:01:11,SRX10463175,SRP312487,PRJNA718090,SRS8593940,SAMN18522006,GSM5216094,SRA1211456,
SRR14088830,2021-03-28 19:35:28,SRX10463176,SRP312487,PRJNA718090,SRS8593941,SAMN18522005,GSM5216095,SRA1211456,
SRR14088831,2021-03-28 19:12:07,SRX10463177,SRP312487,PRJNA718090,SRS8593942,SAMN18522004,GSM5216096,SRA1211456,
SRR14088832,2021-03-28 18:56:12,SRX10463178,SRP312487,PRJNA718090,SRS8593943,SAMN18522003,GSM5216097,SRA1211456,
SRR14088833,2021-03-28 19:04:37,SRX10463227,SRP312487,PRJNA718090,SRS8593993,SAMN18522002,GSM5216098,SRA1211456,
SRR14088834,2021-03-28 19:25:20,SRX10463228,SRP312487,PRJNA718090,SRS8593992,SAMN18521926,GSM5216099,SRA1211456,
SRR14088835,2021-03-28 19:00:59,SRX10463229,SRP312487,PRJNA718090,SRS8593994,SAMN18521925,GSM5216100,SRA1211456,
SRR14088836,2021-03-28 18:57:13,SRX10463230,SRP312487,PRJNA718090,SRS8593995,SAMN18521924,GSM5216101,SRA1211456,
SRR14088837,2021-03-28 19:12:16,SRX10463231,SRP312487,PRJNA718090,SRS8593996,SAMN18521923,GSM5216102,SRA1211456,
SRR14088838,2021-03-28 19:16:53,SRX10463232,SRP312487,PRJNA718090,SRS8593998,SAMN18521922,GSM5216103,SRA1211456,
SRR14088839,2021-03-28 19:05:19,SRX10463233,SRP312487,PRJNA718090,SRS8593997,SAMN18521960,GSM5216104,SRA1211456,
SRR14088840,2021-03-28 18:54:58,SRX10463234,SRP312487,PRJNA718090,SRS8593999,SAMN18521959,GSM5216105,SRA1211456,
SRR14088841,2021-03-28 19:09:08,SRX10463235,SRP312487,PRJNA718090,SRS8594000,SAMN18521958,GSM5216106,SRA1211456,
